,text,sentence,word,wordFreq,zipfFreq,surpGPT,word_length,wordId
4206,text_12_L1,1,für,0.00759,6.88,0.7193201184272766,3,4
4207,text_12_L1,1,Naturschutz,8.32e-06,3.92,6.650824069976807,11,5
4208,text_12_L1,1,ist,0.012,7.08,4.5677080154418945,3,6
4209,text_12_L1,1,eine,0.00631,6.8,1.0104844570159912,4,7
4210,text_12_L1,1,internationale,5.13e-05,4.71,1.359755039215088,14,8
4211,text_12_L1,1,"Organisation,",6.03e-05,4.78,2.7247674465179443,13,9
4212,text_12_L1,1,die,0.0302,7.48,0.6928809285163879,3,10
4213,text_12_L1,1,auf,0.00776,6.89,0.20684398710727692,3,11
4214,text_12_L1,1,dem,0.00575,6.76,3.964062213897705,3,12
4215,text_12_L1,1,Gebiet,6.61e-05,4.82,2.3968355655670166,6,13
4216,text_12_L1,1,des,0.0055,6.74,0.836720883846283,3,14
4217,text_12_L1,1,Naturschutzes,5.89e-07,2.77,0.26682248711586,13,15
4218,text_12_L1,1,und,0.0263,7.42,0.2546268403530121,3,16
4219,text_12_L1,1,der,0.0288,7.46,0.11588720977306366,3,17
4220,text_12_L1,1,nachhaltigen,4.17e-06,3.62,1.6864614486694336,12,18
4221,text_12_L1,1,Nutzung,3.89e-05,4.59,0.11559004336595535,7,19
4222,text_12_L1,1,natürlicher,5.37e-06,3.73,4.2199197196168825e-05,11,20
4223,text_12_L1,1,Ressourcen,1.74e-05,4.24,9.405170567333698e-05,10,21
4224,text_12_L1,1,tätig,3.89e-05,4.59,0.00016091958968900144,5,22
4225,text_12_L1,1,ist.,0.012,7.08,0.011467848904430866,4,23
4226,text_12_L1,2,Sie,0.00661,6.82,4.456000804901123,3,24
4227,text_12_L1,2,ist,0.012,7.08,4.178248405456543,3,25
4228,text_12_L1,2,an,0.0049,6.69,6.401703834533691,2,26
4229,text_12_L1,2,der,0.0288,7.46,1.7146625518798828,3,27
4230,text_12_L1,2,Datenerfassung,5.62e-07,2.75,14.309815406799316,14,28
4231,text_12_L1,2,und,0.0263,7.42,0.00019905969384126365,3,29
4232,text_12_L1,2,"-analyse,",4.07e-05,4.61,6.2918291091918945,9,30
4233,text_12_L1,2,"Forschung,",5.01e-05,4.7,9.603569030761719,10,31
4234,text_12_L1,2,"Feldprojekten,",0.0,0.0,18.056289672851562,14,32
4235,text_12_L1,2,Einflussnahme,3.24e-06,3.51,12.01301097869873,13,33
4236,text_12_L1,2,und,0.0263,7.42,0.8777397871017456,3,34
4237,text_12_L1,2,Wissensvermittlung,5.75e-07,2.76,6.695507526397705,18,35
4238,text_12_L1,2,beteiligt.,4.07e-05,4.61,0.9577491283416748,10,36
4239,text_12_L1,3,Ihre,0.00115,6.06,6.683041095733643,4,37
4240,text_12_L1,3,Mission,3.63e-05,4.56,6.980625152587891,7,38
4241,text_12_L1,3,ist,0.012,7.08,1.160845398902893,3,39
4242,text_12_L1,3,"es,",0.00871,6.94,0.8089162111282349,3,40
4243,text_12_L1,3,"""Gesellschaften",1.26e-05,4.1,17.51462745666504,15,41
4244,text_12_L1,3,weltweit,6.03e-05,4.78,6.749889373779297,8,42
4245,text_12_L1,3,zu,0.0102,7.01,5.953448295593262,2,43
4246,text_12_L1,3,ermutigen,2.14e-06,3.33,4.811290264129639,9,44
4247,text_12_L1,3,und,0.0263,7.42,5.897434234619141,3,45
4248,text_12_L1,3,dabei,0.000631,5.8,1.1869062185287476,5,46
4249,text_12_L1,3,zu,0.0102,7.01,3.917118549346924,2,47
4250,text_12_L1,3,"unterstützen,",5.75e-05,4.76,1.1569401025772095,13,48
4251,text_12_L1,3,die,0.0302,7.48,4.2361345291137695,3,49
4252,text_12_L1,3,Natur,8.71e-05,4.94,0.3795558214187622,5,50
4253,text_12_L1,3,zu,0.0102,7.01,1.1067354679107666,2,51
4254,text_12_L1,3,"erhalten,",0.000204,5.31,4.112993240356445,9,52
4255,text_12_L1,3,und,0.0263,7.42,2.227177381515503,3,53
4256,text_12_L1,3,"sicherzustellen,",5.5e-06,3.74,5.6738362312316895,16,54
4257,text_12_L1,3,dass,0.0049,6.69,1.2772189378738403,4,55
4258,text_12_L1,3,die,0.0302,7.48,2.5371313095092773,3,56
4259,text_12_L1,3,Nutzung,3.89e-05,4.59,1.575861930847168,7,57
4260,text_12_L1,3,natürlicher,5.37e-06,3.73,3.3940513134002686,11,58
4261,text_12_L1,3,Ressourcen,1.74e-05,4.24,5.667352676391602,10,59
4262,text_12_L1,3,gerecht,2.34e-05,4.37,0.006483472418040037,7,60
